[14.6.2011 | 19:31:12] /spawnc elegy
[14.6.2011 | 19:32:40] /spawnc rhino
[14.6.2011 | 19:34:46] /get 1
[14.6.2011 | 19:37:33] /get 1
[14.6.2011 | 19:37:47] /spawnc bandit
[14.6.2011 | 19:38:45] /goto 0
[14.6.2011 | 19:39:18] /eject 2
[14.6.2011 | 19:39:26] /goto 0
[14.6.2011 | 19:40:08] /get 1
[14.6.2011 | 19:40:13] /goto 0
[14.6.2011 | 19:40:29] /spawnc hunter
[14.6.2011 | 19:40:38] /get 1
[14.6.2011 | 19:40:54] /goto 0
[14.6.2011 | 19:41:20] /goto 0
[14.6.2011 | 19:42:07] /goto 0
[14.6.2011 | 19:43:02] /goto 0
[14.6.2011 | 19:43:52] /goto 0
[14.6.2011 | 19:43:54] /goto 0
[14.6.2011 | 19:43:54] /goto 0
[14.6.2011 | 19:43:54] /goto 0
[14.6.2011 | 19:43:55] /goto 0
[14.6.2011 | 19:43:55] /goto 0
[14.6.2011 | 19:43:55] /goto 0
[14.6.2011 | 19:43:55] /goto 0
[14.6.2011 | 19:43:56] /goto 0
[14.6.2011 | 19:43:56] /goto 0
[14.6.2011 | 19:43:57] /goto 0
[14.6.2011 | 19:45:01] /goto 0
[14.6.2011 | 19:45:03] /goto 0
[14.6.2011 | 19:45:31] /goto 0
[14.6.2011 | 19:45:51] /goto 0
[14.6.2011 | 19:46:04] /get 1
[14.6.2011 | 20:26:58] /givemoney 1 1000000
[14.6.2011 | 20:26:59] /givemoney 1 1000000
[14.6.2011 | 20:26:59] /givemoney 1 1000000
[14.6.2011 | 20:27:00] /givemoney 1 1000000
[14.6.2011 | 20:27:00] /givemoney 1 1000000
[14.6.2011 | 20:27:01] /givemoney 1 1000000
[14.6.2011 | 20:27:01] /givemoney 1 1000000
[14.6.2011 | 20:27:02] /givemoney 1 1000000
[14.6.2011 | 20:27:02] /givemoney 1 1000000
[14.6.2011 | 20:27:03] /givemoney 1 1000000
[14.6.2011 | 20:27:20] /givemoney 1 1000000
[14.6.2011 | 20:27:25] /givemoney 1 1000000
[14.6.2011 | 20:27:26] /givemoney 1 1000000
[14.6.2011 | 20:27:27] /givemoney 1 1000000
[14.6.2011 | 20:27:28] /givemoney 1 1000000
[14.6.2011 | 20:27:28] /givemoney 1 1000000
